epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,94.954,0.27069,0.99465,1,0.01313,0.000236111,0.000236111,0.000236111
2,181.916,0.03352,0.99866,1,0.00557,0.000427174,0.000427174,0.000427174
3,272.814,0.02163,0.99732,1,0.00514,0.000571113,0.000571113,0.000571113
4,356.587,0.0168,0.99598,1,0.00623,0.000501942,0.000501942,0.000501942
5,458.176,0.00396,0.99866,1,0.00498,0.000431256,0.000431256,0.000431256
6,539.123,0.00234,0.99866,1,0.0045,0.00036057,0.00036057,0.00036057
7,635.167,0.00257,0.99598,1,0.00645,0.000289884,0.000289884,0.000289884
8,791.235,0.00795,1,1,0.00245,0.000219198,0.000219198,0.000219198
9,872.356,0.00758,0.99866,1,0.00295,0.000148512,0.000148512,0.000148512
10,965.924,0.005,1,1,0.00243,7.7826e-05,7.7826e-05,7.7826e-05
